,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,price_in,time_in,type,price_out,time_out,stocks,open,profit,last day Close
61,61.0,61.0,MAWANASUG,95.7,2021-07-19 03:46:30,long,99.85,2021-07-19 05:08:09,MAWANASUG,0.0,4.3364681295715695,
62,62.0,62.0,AJMERA,297.0,2021-07-19 03:46:30,long,306.75,2021-07-19 04:23:30,AJMERA,0.0,3.282828282828284,
63,63.0,63.0,SPAL,298.35,2021-07-19 03:46:30,long,304.85,2021-07-19 03:51:30,SPAL,0.0,2.178649237472767,
64,64.0,64.0,ISFT,116.9,2021-07-19 03:46:32,short,118.1,2021-07-19 05:46:27,ISFT,0.0,-1.016088060965274,
65,65.0,65.0,GNA,510.05,2021-07-19 03:46:32,long,506.6,2021-07-19 05:46:27,GNA,0.0,-0.6764042740907732,
66,66.0,66.0,MARATHON,85.0,2021-07-19 03:46:32,long,87.85,2021-07-19 03:57:09,MARATHON,0.0,3.3529411764705817,
67,67.0,67.0,EMAMIREAL,81.55,2021-07-19 03:46:32,short,83.7,2021-07-19 03:55:05,EMAMIREAL,0.0,-2.568697729988059,
68,68.0,68.0,TERASOFT,75.9,2021-07-19 03:46:32,long,78.7,2021-07-19 03:56:29,TERASOFT,0.0,3.689064558629772,
69,69.0,69.0,HISARMETAL,134.7,2021-07-19 03:46:32,long,137.1,2021-07-19 03:51:33,HISARMETAL,0.0,1.781737193763924,
70,70.0,70.0,RAMKY,197.8,2021-07-19 03:46:32,short,190.0,2021-07-19 03:47:12,RAMKY,0.0,4.105263157894743,
71,71.0,71.0,APCL,444.05,2021-07-19 03:46:35,short,458.95,2021-07-19 04:12:12,APCL,0.0,-3.246541017540032,
72,72.0,72.0,CDSL,1381.6,2021-07-19 03:46:35,long,1441.0,2021-07-19 03:53:43,CDSL,0.0,4.299363057324848,
73,73.0,73.0,DYNPRO,512.5,2021-07-19 03:46:35,long,516.9,2021-07-19 05:46:27,DYNPRO,0.0,0.8585365853658492,
74,74.0,74.0,WORTH,111.9,2021-07-19 03:46:35,short,111.05,2021-07-19 05:46:27,WORTH,0.0,0.7654209815398546,
75,75.0,75.0,TOTAL,55.6,2021-07-19 03:46:35,long,57.4,2021-07-19 03:53:03,TOTAL,0.0,3.237410071942441,
76,76.0,76.0,FILATEX,107.6,2021-07-19 03:46:37,long,107.1,2021-07-19 05:46:27,FILATEX,0.0,-0.4646840148698885,
77,77.0,77.0,DSSL,152.0,2021-07-19 03:46:37,long,154.75,2021-07-19 03:50:10,DSSL,0.0,1.8092105263157896,
78,78.0,78.0,MINDACORP,140.2,2021-07-19 03:46:37,long,143.65,2021-07-19 04:39:03,MINDACORP,0.0,2.460770328102723,
79,79.0,79.0,SPECIALITY,70.3,2021-07-19 03:46:37,long,71.9,2021-07-19 03:50:10,SPECIALITY,0.0,2.275960170697025,
80,80.0,80.0,CINELINE,48.75,2021-07-19 03:46:37,long,49.9,2021-07-19 03:57:55,CINELINE,0.0,2.358974358974356,
81,81.0,81.0,KITEX,182.7,2021-07-19 03:46:37,short,183.65,2021-07-19 05:46:27,KITEX,0.0,-0.5172883201742537,
82,82.0,82.0,SEYAIND,68.2,2021-07-19 03:46:37,long,69.9,2021-07-19 03:53:46,SEYAIND,0.0,2.492668621700884,
83,83.0,83.0,HAPPSTMNDS,1431.7,2021-07-19 03:46:37,long,1498.0,2021-07-19 03:55:10,HAPPSTMNDS,0.0,4.630858420060066,
84,84.0,84.0,,45.6,2021-07-20 03:45:02,short,44.05,2021-07-20 03:46:10,ABAN,43.45000076293945,3.5187287173666384,43.45000076293945
85,85.0,85.0,,1386.6,2021-07-20 03:45:02,short,1423.95,2021-07-20 03:45:38,ANGELBRKG,1347.1500244140625,-2.622985357631949,1347.0
86,86.0,86.0,,66.05,2021-07-20 03:45:04,long,67.0,2021-07-20 03:46:10,ASTRON,70.1500015258789,1.438304314912949,70.0
87,87.0,87.0,,68.5,2021-07-20 03:45:04,short,68.8,2021-07-20 03:46:10,KHAICHEM,66.5,-0.4360465116279028,66.5
88,88.0,88.0,,88.25,2021-07-20 03:45:06,long,88.25,2021-07-20 03:46:10,SHIVAMILLS,90.9000015258789,0.0,91.0999984741211
89,89.0,89.0,,236.0,2021-07-20 03:45:06,short,238.0,2021-07-20 03:46:10,KABRAEXTRU,225.0,-0.8403361344537815,225.25
90,90.0,90.0,,427.0,2021-07-20 03:45:09,short,428.35,2021-07-20 03:46:10,MANGLMCEM,418.0499877929688,-0.3151628341309729,418.9500122070313
91,91.0,91.0,,200.65,2021-07-20 03:45:15,short,202.95,2021-07-20 03:46:10,GOODLUCK,194.8999938964844,-1.13328406011332,194.8999938964844
92,92.0,92.0,,103.0,2021-07-20 03:45:15,long,103.0,2021-07-20 03:46:10,LAMBODHARA,106.3000030517578,0.0,106.3499984741211
93,93.0,93.0,,40.2,2021-07-20 03:45:15,short,40.2,2021-07-20 03:46:10,RSSOFTWARE,38.0,0.0,38.04999923706055
94,94.0,94.0,,62.95,2021-07-20 03:45:15,short,62.95,2021-07-20 03:46:10,TREJHARA,60.650001525878906,0.0,60.650001525878906
95,95.0,95.0,,782.7,2021-07-20 03:45:15,short,779.65,2021-07-20 03:46:10,RPSGVENT,760.0,0.3912011800166829,760.0
96,96.0,96.0,,88.3,2021-07-20 03:45:17,short,89.95,2021-07-20 03:46:10,STEELCITY,83.0,-1.834352418010012,83.0
97,97.0,97.0,,315.0,2021-07-20 03:45:17,long,315.0,2021-07-20 03:46:10,PONNIERODE,323.3500061035156,0.0,322.6499938964844
98,98.0,98.0,,71.95,2021-07-20 03:45:17,short,66.2,2021-07-20 03:45:52,OMAXAUTO,68.25,8.685800604229607,68.4000015258789
99,99.0,99.0,,171.7,2021-07-20 03:45:19,short,172.1,2021-07-20 03:46:10,DCMNVL,166.25,-0.2324230098779812,166.25
100,100.0,100.0,,355.95,2021-07-20 03:45:19,short,347.35,2021-07-20 03:45:54,SIRCA,349.04998779296875,2.475888872894765,349.04998779296875
101,101.0,101.0,,62.05,2021-07-20 03:45:19,long,62.5,2021-07-20 03:46:10,JAIBALAJI,63.79999923706055,0.7252215954875147,63.79999923706055
102,102.0,102.0,,136.9,2021-07-20 03:45:19,short,136.9,2021-07-20 03:46:10,UNIENTER,133.4499969482422,0.0,134.4499969482422
103,103.0,103.0,,312.35,2021-07-20 03:45:19,short,315.0,2021-07-20 03:46:10,DATAMATICS,300.5,-0.8412698412698341,300.5
104,104.0,104.0,,117.1,2021-07-20 03:45:21,short,117.85,2021-07-20 03:46:10,XCHANGING,115.5999984741211,-0.6364022061943148,115.5999984741211
105,105.0,105.0,,240.0,2021-07-20 03:45:21,long,240.0,2021-07-20 03:46:10,INDOTECH,249.5,0.0,250.0
106,106.0,106.0,,80.15,2021-07-20 03:45:21,short,79.05,2021-07-20 03:46:10,GALLANTT,78.5999984741211,1.391524351676165,78.8499984741211
107,107.0,107.0,,166.95,2021-07-20 03:45:23,short,167.0,2021-07-20 03:46:10,ALLCARGO,162.5,-0.0299401197604858,162.5
108,108.0,108.0,,184.0,2021-07-20 03:45:23,short,184.0,2021-07-20 03:46:10,GEECEE,179.35000610351562,0.0,179.0500030517578
109,109.0,109.0,,163.8,2021-07-20 03:45:23,long,163.45,2021-07-20 03:45:58,HIRECT,163.64999389648438,-0.2136752136752275,163.9499969482422
110,110.0,110.0,,265.75,2021-07-20 03:45:23,long,270.1,2021-07-20 03:46:10,PLASTIBLEN,273.0,1.6368767638758317,273.54998779296875
111,111.0,111.0,,90.9,2021-07-20 03:45:25,short,89.4,2021-07-20 03:46:10,IZMO,88.4000015258789,1.6778523489932886,88.4000015258789
112,112.0,112.0,,142.85,2021-07-20 03:45:25,short,142.9,2021-07-20 03:46:10,INDIANB,139.8000030517578,-0.0349895031490632,139.8000030517578
113,113.0,113.0,,194.0,2021-07-20 03:45:25,short,193.85,2021-07-20 03:46:10,SMSPHARMA,189.4499969482422,0.0773794170750609,189.4499969482422
114,114.0,114.0,,244.8,2021-07-20 03:45:25,short,235.15,2021-07-20 03:46:10,CHEMBOND,230.6999969482422,4.103763555177548,230.8999938964844
115,115.0,115.0,,93.35,2021-07-20 03:45:25,short,91.95,2021-07-20 03:46:10,OMAXE,91.0999984741211,1.5225666122892785,91.3000030517578
116,116.0,116.0,,1129.95,2021-07-20 03:45:27,short,1120.85,2021-07-20 03:46:10,MOTILALOFS,1104.5,0.8118838381585527,1103.0
117,117.0,117.0,,409.4,2021-07-20 03:45:27,short,409.4,2021-07-20 03:46:10,MAANALU,400.8500061035156,0.0,401.0
118,118.0,118.0,,234.65,2021-07-20 03:45:27,long,234.65,2021-07-20 03:46:10,HITECHCORP,233.1499938964844,0.0,234.9499969482422
119,119.0,119.0,,114.2,2021-07-20 03:45:27,short,113.9,2021-07-20 03:46:10,SHALPAINTS,111.4000015258789,0.2633889376646156,111.1999969482422
120,120.0,120.0,,42.5,2021-07-20 03:45:27,short,42.5,2021-07-20 03:46:10,BHARATWIRE,79.0999984741211,0.0,79.0
121,121.0,121.0,,96.0,2021-07-20 03:45:29,long,99.0,2021-07-20 03:46:04,MOLDTECH,99.0999984741211,3.125,99.3499984741211
122,122.0,122.0,,100.45,2021-07-20 03:45:29,short,100.7,2021-07-20 03:46:10,GPTINFRA,98.0,-0.2482621648460774,98.0
123,123.0,123.0,,643.3,2021-07-20 03:45:29,short,641.1,2021-07-20 03:46:10,SHILPAMED,627.0,0.3431601934175529,626.8499755859375
124,124.0,124.0,,98.85,2021-07-20 03:45:29,short,99.7,2021-07-20 03:46:10,MINDTECK,96.1500015258789,-0.8525576730190656,96.1500015258789
125,125.0,125.0,,54.0,2021-07-20 03:45:29,long,54.0,2021-07-20 03:46:10,DEEPENR,56.5,0.0,56.650001525878906
126,126.0,126.0,,122.45,2021-07-20 03:45:31,short,124.0,2021-07-20 03:46:10,ISFT,118.0999984741211,-1.2499999999999976,118.0999984741211
127,127.0,127.0,,85.0,2021-07-20 03:45:31,short,84.9,2021-07-20 03:46:10,HPL,83.19999694824219,0.1177856301531146,83.19999694824219
128,128.0,128.0,,86.3,2021-07-20 03:45:31,short,85.9,2021-07-20 03:46:10,EMAMIREAL,83.69999694824219,0.4656577415599434,83.69999694824219
129,129.0,129.0,,83.75,2021-07-20 03:45:31,short,84.0,2021-07-20 03:46:10,TERASOFT,81.6500015258789,-0.2976190476190476,81.5999984741211
130,130.0,130.0,,1379.65,2021-07-20 03:45:31,short,1403.9,2021-07-20 03:46:10,BSE,1334.949951171875,-1.7273310064819432,1334.949951171875
131,131.0,131.0,,149.3,2021-07-20 03:45:31,short,149.8,2021-07-20 03:46:10,CAREERP,145.25,-0.3337783711615487,145.5500030517578
132,132.0,132.0,,207.0,2021-07-20 03:45:31,short,207.0,2021-07-20 03:46:10,RAMKY,198.8500061035156,0.0,198.8500061035156
133,133.0,133.0,,496.95,2021-07-20 03:45:33,short,499.3,2021-07-20 03:46:10,APCL,484.0,-0.4706589224914926,483.1000061035156
134,134.0,134.0,,101.65,2021-07-20 03:45:33,short,102.65,2021-07-20 03:46:10,RPPINFRA,96.0999984741211,-0.974184120798831,95.9499969482422
135,135.0,135.0,,774.4,2021-07-20 03:45:33,short,774.8,2021-07-20 03:46:10,ERIS,755.5,-0.0516262261228674,755.4000244140625
136,136.0,136.0,,352.0,2021-07-20 03:45:33,short,347.0,2021-07-20 03:46:10,MAGADSUGAR,341.3500061035156,1.440922190201729,340.95001220703125
137,137.0,137.0,,234.8,2021-07-20 03:45:33,short,234.9,2021-07-20 03:46:10,DCAL,228.8999938964844,-0.0425713069391206,228.75
138,138.0,138.0,,112.0,2021-07-20 03:45:33,short,111.5,2021-07-20 03:46:10,WORTH,109.8499984741211,0.4484304932735426,109.8000030517578
139,139.0,139.0,,95.9,2021-07-20 03:45:36,short,95.9,2021-07-20 03:46:10,BROOKS,90.4499969482422,0.0,90.5
140,140.0,140.0,,186.85,2021-07-20 03:45:36,long,186.7,2021-07-20 03:46:10,KITEX,192.5,-0.0802782981000833,192.5
141,141.0,141.0,,196.25,2021-07-20 03:45:36,short,197.45,2021-07-20 03:46:10,ROSSELLIND,188.75,-0.6077487971638332,188.8000030517578
142,142.0,142.0,,78.3,2021-07-20 03:45:36,short,78.2,2021-07-20 03:46:10,SEYAIND,76.0,0.1278772378516551,76.19999694824219
143,143.0,143.0,,97.1,2021-07-20 03:45:36,long,97.9,2021-07-20 03:46:10,ADANIPOWER,102.4499969482422,0.8238928939238017,102.4000015258789
144,144.0,,,45.6,2021-07-21 03:45:01,short,45.6,2021-07-21 03:46:01,ABAN,45.59999847412109,0.0,45.59999847412109
145,145.0,,,535.55,2021-07-21 03:45:01,long,535.55,2021-07-21 03:46:01,ANDHRSUGAR,541.2000122070312,0.0,540.5
146,146.0,,,244.1,2021-07-21 03:45:01,long,244.1,2021-07-21 03:46:01,ANDHRAPAP,246.6000061035156,0.0,246.5
147,147.0,,,102.2,2021-07-21 03:45:01,long,102.2,2021-07-21 03:46:01,ARVIND,103.3000030517578,0.0,103.1999969482422
148,148.0,,,368.15,2021-07-21 03:45:01,short,368.15,2021-07-21 03:46:01,UNIDT,360.6000061035156,0.0,360.4500122070313
149,149.0,,,427.1,2021-07-21 03:45:01,long,427.1,2021-07-21 03:46:01,IEX,433.1000061035156,0.0,432.1499938964844
150,150.0,,,176.9,2021-07-21 03:45:01,long,176.9,2021-07-21 03:46:01,GICRE,176.89999389648438,0.0,176.9499969482422
151,151.0,,,1272.05,2021-07-21 03:45:01,long,1272.05,2021-07-21 03:46:01,ANGELBRKG,1270.050048828125,0.0,1269.8499755859375
152,152.0,,,336.1,2021-07-21 03:45:01,long,336.1,2021-07-21 03:46:01,BALRAMCHIN,337.6499938964844,0.0,337.6499938964844
153,153.0,,,64.75,2021-07-21 03:45:01,long,64.75,2021-07-21 03:46:01,BANARBEADS,65.3499984741211,0.0,65.3499984741211
154,154.0,,,181.2,2021-07-21 03:45:01,long,181.2,2021-07-21 03:46:01,BEL,181.3999938964844,0.0,181.4499969482422
155,155.0,,,567.15,2021-07-21 03:45:01,long,567.15,2021-07-21 03:46:01,MAHLOG,569.2000122070312,0.0,569.75
156,156.0,,,158.5,2021-07-21 03:45:01,long,158.5,2021-07-21 03:46:01,NIACL,161.0,0.0,161.0
157,157.0,,,864.95,2021-07-21 03:45:01,short,864.95,2021-07-21 03:46:01,BERGEPAINT,844.5999755859375,0.0,846.0
158,158.0,,,166.9,2021-07-21 03:45:01,long,166.9,2021-07-21 03:46:01,BEPL,169.8000030517578,0.0,169.3000030517578
159,159.0,,,285.15,2021-07-21 03:45:01,long,285.15,2021-07-21 03:46:01,KHADIM,287.79998779296875,0.0,288.0
160,160.0,,,123.6,2021-07-21 03:45:01,short,123.6,2021-07-21 03:46:01,BHARATGEAR,119.75,0.0,121.0
161,161.0,,,514.1,2021-07-21 03:45:01,long,514.1,2021-07-21 03:46:01,5PAISA,524.7000122070312,0.0,524.7000122070312
162,162.0,,,663.45,2021-07-21 03:45:01,long,663.45,2021-07-21 03:46:01,HDFCLIFE,671.0,0.0,670.7999877929688
163,163.0,,,103.25,2021-07-21 03:45:01,long,103.25,2021-07-21 03:46:01,BOMDYEING,105.3499984741211,0.0,105.3000030517578
164,164.0,,,873.25,2021-07-21 03:45:01,long,873.25,2021-07-21 03:46:01,UTIAMC,885.7000122070312,0.0,887.2000122070312
165,165.0,,,60.55,2021-07-21 03:45:01,long,60.55,2021-07-21 03:46:01,BSL,60.70000076293945,0.0,60.84999847412109
166,166.0,,,631.7,2021-07-21 03:45:01,long,631.7,2021-07-21 03:46:01,GRAPHITE,632.0,0.0,632.0
